TRT,REP,ENV,DTH,GFD,PHT,TNS,TGW,KA,KW,KL,KC,KLW,KPS,GWS
1,1,GH22,36,41,72,16,42.77372263,16.1063096,3.450812282,6.314300732,1.324956706,1.839293402,34.25,1.465
1,2,GH22,39,33,83,17.5,41.72932331,16.15765079,3.50496765,6.276596665,1.306593555,1.798780786,33.25,1.3875
1,3,GH22,38,50,76,15.5,45.44444444,17.15092854,3.522329072,6.609777507,1.336506109,1.883758685,22.5,1.0225
1,1,FL22,35,21,,,,,,,,,,
1,2,FL22,35,20,,,,,,,,,,
1,1,GH23,35,36,86,15.25,46.79389313,17.79304501,3.638558689,6.684189919,1.333823956,1.844089149,32.75,1.5325
1,2,GH23,36,35,87,15.25,44.74452555,17.24760613,3.525456455,6.569969977,1.32677841,1.872889459,34.25,1.5325
1,1,FL23,,,79.66666667,,,,,6.324036883,,,,
1,2,FL23,36,35,,13.25,34.77911647,15.13651346,3.237689888,,1.376603677,1.9765213,31.125,1.0825
2,1,GH22,44,39,74,20,42.99270073,16.76656942,3.509226601,6.547942371,1.34234443,1.87511654,34.25,1.4725
2,2,GH22,48,37,92,20,47.81690141,17.74956759,3.682251158,6.578631995,1.302346878,1.791477815,35.5,1.6975
2,3,GH22,49,45,75,17.75,44.86842105,16.97609011,3.509015811,6.621584736,1.339457962,1.895931121,19,0.8525
2,1,FL22,40,27,,,,,,,,,,
2,2,FL22,40,23,,,,,,,,,,
2,1,GH23,42,32,81,18,43.06122449,15.46636085,3.433112312,6.211512817,1.317985302,1.81589194,36.75,1.5825
2,2,GH23,41,28,82,17.75,41.64835165,16.10517914,3.511940313,6.254520926,1.296630874,1.787409902,45.5,1.895
2,1,FL23,41,34,98,15.5,29.50684932,15.95286268,3.069201913,6.685465147,1.469566719,2.153572387,45.625,1.34625
2,2,FL23,39,35,88.66666667,15.14285714,35.38194444,14.5818735,3.247701534,6.4732869,1.417750784,2.072406613,41.14285714,1.455714286
3,1,GH22,38,43,77,16,53.20754717,18.6210963,3.801115919,6.569146747,1.273549039,1.732375689,26.5,1.41
3,2,GH22,40,38,81,17.25,48.50393701,17.61554774,3.807047284,6.242769158,1.248104781,1.644350226,31.75,1.54
3,3,GH22,38,48,84,15.25,56.42335766,20.26631215,3.910798193,6.945928216,1.292874592,1.780966866,34.25,1.9325
3,1,FL22,34,21,,,,,,,,,,
3,2,FL22,34,25,,,,,,,,,,
3,1,GH23,35,39,101,17.5,36.88888889,16.25947976,3.356426151,6.651549816,1.40271478,1.995515983,33.75,1.245
3,2,GH23,35,36,103,16.75,38.90410959,17.18479051,3.421497951,6.936841802,1.429226529,2.043600679,36.5,1.42
3,1,FL23,35,33,84.33333333,13.25,40.1826484,15.84676957,3.387190154,6.464458345,1.335483622,1.905019839,27.375,1.1
3,2,FL23,34,34,80.33333333,13.14285714,39.06103286,16.19086719,3.324897636,6.431473813,1.393325518,1.995555161,30.42857143,1.188571429
4,1,GH22,47,40,77,18.75,47.47747748,17.76292231,3.603426547,6.606410981,1.327895711,1.840135866,27.75,1.3175
4,2,GH22,51,37,83,23.25,48.23899371,17.07432143,3.663017537,6.410677515,1.299612942,1.759270588,39.75,1.9175
4,3,GH22,54,44,89,20.5,45.80882353,17.29432925,3.521436078,6.63871895,1.334178129,1.891823298,34,1.5575
4,1,FL22,44,27,,,,,,,,,,
4,2,FL22,44,34,,,,,,,,,,
4,1,GH23,46,24,81,15.5,39.7826087,15.68423876,3.400720118,6.270963893,1.322228532,1.851789602,34.5,1.3725
