Trait,Mean,Std Error,Min,Max,CV%,Kurtosis,LSD (0.05)
REP,1.6666666666666667,0.016126410461161995,1.0,3.0,40.01170103871745,-0.75,0.03160776450387751
DTH,40.580683156654885,0.11435166503727126,29.0,82.0,11.611597726182298,5.228443993219482,0.22412926347305168
GFD,34.912759643916914,0.17076661479597335,18.0,57.0,20.07792110207278,-0.17904396650308962,0.3347025650001078
PHT,80.465860418322,0.3106382703909037,49.0,116.0,14.041814193248722,-0.2555652944844078,0.6088510099661711
TNS,16.60248271018154,0.0637369605176916,10.375,26.0,13.958348588672017,0.12921353121474333,0.1249244426146755
TGW,41.82085875917322,0.2061005978244531,1.829652997,66.69172932,17.918515743700983,0.2312731653156841,0.4039571717359281
KA,16.579041750847203,0.04735710500591068,11.90484744,22.8930209,10.385835700355027,-0.06801707286607916,0.09281992581158492
KW,3.4823982423214828,0.006705025781783251,2.704230165,4.159717929,7.000639993871388,-0.20777354727838437,0.013141850532295172
KL,6.451017587989411,0.00926794969982311,5.374187538,7.537132723,5.223615112751062,0.12704245987698792,0.018165181411653294
KC,1.3418598872829046,0.0016392083698946978,1.222129942,1.599400302,4.441633499280938,0.596588984547116,0.0032128484049936076
KLW,1.8771383795673224,0.00395128075821121,1.522176281,2.387019178,7.653451384517249,-0.0027955573825941826,0.007744510286093971
KPS,39.30996055759456,0.2345058837665244,19.0,77.125,21.69036514486062,0.5795497603923536,0.4596315321823878
GWS,1.624068645991679,0.009982389178956526,0.2975,2.9475,22.34836949217044,0.12967941101504232,0.019565482790754794
